artist,songs,Clusters
Baby Smoove,Dirty Faygo,2
Baby Smoove,Akorn,5
Spillage Village,Baptize (with JID & EARTHGANG feat. Ant Clemons),3
JID,NEVER,0
YoungBoy Never Broke Again,Reaper's Child,3
YoungBoy Never Broke Again,Dead Trollz,4
4waytaye,Forever Ride,5
Baskem,Pray for 'em,0
VloneWolf,10 Years,0
Pusha T,Nosetalgia,1
Gang Starr,Family and Loyalty,3
Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),3
42 Dugg,Livin',7
Big Sean,"Friday Night Cypher (feat. Tee Grizzley, Kash Doll, Cash Kidd, Payroll, 42 Dugg, Boldy James, Drego, Sada Baby, Royce Da 5'9"", and Eminem)",1
Pop Smoke,For The Night (feat. Lil Baby & DaBaby),3
Chief Keef,BANG BANG,0
Young Thug,Mannequin Challenge (feat. Juice WRLD),0
YoungBoy Never Broke Again,Murder Business,4
King Von,How It Go,0
Lil Wayne,Shoes,7
Kid Cudi,Cudi Zone,3
Diddy,I'll Be Missing You (feat. 112),4
YG,SWAG,3
Benny The Butcher,Deal Or No Deal,5
Hotboii,Don't Need Time - Remix,7
Only The Family,Game,1
54 Baby Trey,Let Me Fall,3
WeUpNexxt,No Hook,5
Nipsey Hussle,A Hunnit a Show (feat. Rick Ross),3
Big Sean,Deep Reverence (feat. Nipsey Hussle),1
Joey Bada$$,Hardknock,4
Sheff G,Flows (feat. Sleepy Hallow),3
Lil Axion,These Ways,5
Kendrick Lamar,Ignorance Is Bliss,4
Smoke DZA,How Far We Go (Uptown 81),1
Fredo Santana,Jealous,5
Nas,Spicy (feat. Fivio Foreign & A$AP Ferg),2
YoungBoy Never Broke Again,Sticks With Me,3
Future,The Percocet & Stripper Joint,6
YoungBoy Never Broke Again,Death Enclaimed,1
Bfb Da Packman,Free Joe Exotic,3
zenorachi,Brace Yourself,5
Rod Wave,Letter From Houston,3
Rod Wave,To My Grave,1
Rod Wave,Ribbon In The Sky,1
Key Glock,Spazzing Out,3
Pop Smoke,PTSD,3
Lil Yachty,NBAYOUNGBOAT,1
Lil Wayne,Best Rapper Alive,4
Lil Wayne,Blunt Blowin,0
Coach Joey,7mile Zoo,1
Drake,Time Flies,7
21 Savage,4L,5
Damjonboi,Really Do It,5
Polo G,Wishing For A Hero (feat. BJ The Chicago Kid),0
Gunna,TOP FLOOR (feat. Travis Scott),3
DJ Khaled,GREECE (feat. Drake),0
Lil Eazzyy,Listen Up,5
Mobb Deep,Quiet Storm,7
Drake,HYFR (Hell Ya Fucking Right),1
Jay Rock,"Say Wassup (feat. Sc Hoolboy Q, Ab Soul & Kendrick Lamar)",3
Key Glock,Dough,0
J. Cole,t h e . c l i m b . b a c k,3
Baby Smoove,"Risk It All, Pt.2",0
Baby Smoove,"Losing My Mind, Pt.2",0
The Notorious B.I.G.,Things Done Changed - 2005 Remaster,0
Freddie Gibbs,Death Row (feat. 03 Greedo),7
Ski Mask The Slump God,Unbothered,5
Kendrick Lamar,good kid,2
Lud Foe,In and Out,1
Baby Smoove,How Did We Know?,6
Kodak Black,Like Dat,5
Pop Smoke,Got It On Me,0
42 Dugg,Not Done,5
Pop Smoke,44 BullDog,5
Pop Smoke,Gangstas,3
Pusha T,Come Back Baby,0
Tee Grizzley,The Smartest Intro,3
Tee Grizzley,Covid (feat. Lil Baby),7
Lil Baby,We Paid (feat. 42 Dugg),7
Tee Grizzley,Red Light,0
Lil Baby,The Bigger Picture,0
Don Toliver,Had Enough (feat. Quavo & Offset),7
Swae Lee,Someone Said,0
Kanye West,Famous,2
Trippie Redd,The Jungle Book,0
Rucci,Get the Strap (feat. Shoreline Mafia),5
Flipp Dinero,How I Move (feat. Lil Baby),3
Kanye West,Flashing Lights,3
Travis Scott,Sky Fall,3
Lil Wayne,Multiple Flows (with Lil Uzi Vert),7
Lil Yachty,Demon Time (Lil Yachty feat. Draft Day),7
Lil Yachty,Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It),3
Lil Yachty,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",4
Polo G,Through Da Storm,5
Huncho Jack,Go,3
Kanye West,Spaceship,4
King Von,On Yo Ass,2
Future,Accepting My Flaws,5
Future,Touch The Sky,0
Ice Cube,You Know How We Do It,3
Pop Smoke,Invincible,2
Young Dolph,Foreva (feat. T.I.),1
Kendrick Lamar,Wesley's Theory,1
A$AP Mob,Yamborghini High (feat. Juicy J),7
Dr. Dre,Fuck Wit Dre Day (And Everybody's Celebratin'),4
Baby Keem,STATS,0
JACKBOYS,WHAT TO DO? (feat. Don Toliver),0
Kid Cudi,Leader Of The Delinquents,7
Ameer Vann,Glock 19,7
Raekwon,The Morning,1
Mos Def,Ms. Fat Booty,7
Jeezy,Seen It All,7
Don Toliver,After Party,4
YG,Hard Bottoms & White Socks,3
Don Toliver,Can't Feel My Legs,3
The Weeknd,Faith,6
Lil Uzi Vert,7AM,0
Beast Coast,Distance (feat. Issa Gold & Erick The Architect),0
Lil Uzi Vert,Venetia,7
Lil Uzi Vert,Chrome Heart Tags,7
Lil Uzi Vert,P2,3
Lil Uzi Vert,Secure The Bag,7
Lil Uzi Vert,Prices,4
Lil Uzi Vert,You Better Move,5
Lil Uzi Vert,Silly Watch,0
Lil Uzi Vert,Baby Pluto,3
King Von,Broke Opps,0
ScHoolboy Q,Gangsta,4
ScHoolboy Q,JoHn Muir,2
Kendrick Lamar,Keisha's Song (Her Pain),4
G Herbo,PTSD,7
Lil Tjay,F.N,6
Isaiah Rashad,Shot You Down (feat. Jay Rock & ScHoolboy Q),7
Young Dolph,Major (feat. Key Glock),3
YoungBoy Never Broke Again,Slime Belief,0
King Von,Took Her To The O,7
"Tyler, The Creator",Lone,4
Kanye West,Roses,3
ScHoolboy Q,Prescription/Oxymoron,1
YoungBoy Never Broke Again,Murda (feat. Trippie Redd),0
Young Chop,Ammo & Juice (feat. Future),5
"Tyler, The Creator",48,4
Tyler,Lucky Charms,5
Tyler,Bronco,5
Eazy-E,No More ?'s,7
50 Cent,If I Can't,3
Luniz,I Got 5 On It,2
Mobb Deep,Survival of the Fittest,3
G-Unit,Poppin' Them Thangs,3
Warren G,Regulate,3
Geto Boys,Mind Playing Tricks on Me,5
Eazy-E,Real Muthaphuckkin' G's,4
The Notorious B.I.G.,"Living in Pain (feat. 2Pac, Mary J. Blige & Nas)",2
2Pac,When We Ride On Our Enemies - Briss Remix,7
A Boogie Wit da Hoodie,Blood On My Denim,7
Kodak Black,Too Many Years,3
A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2),2
A$AP Mob,"Telephone Calls (feat. A$AP Rocky, Tyler, The Creator, Playboi Carti & Yung Gleesh)",3
Travis Scott,Don't Play (feat. The 1975 & Big Sean),0
Travis Scott,Mamacita (feat. Rich Homie Quan & Young Thug),0
Travis Scott,ASTROTHUNDER,0
Prophet the Artist,Irregular,2
Kid Glock,Enjoy The Show,5
Lil Wayne,Line Em Up,7
Lil Wayne,Piano Trap,2
Lil Wayne,Clap For Em,1
Lil Wayne,Mahogany,1
Lil Wayne,Funeral,0
Wiz Khalifa,On My Level (feat. Too $hort),0
ScHoolboy Q,Studio,3
Chief Keef,Kobe,7
T.R.U.,Virgil Discount,7
King Kendrick,Control,1
The Weeknd,Call Out My Name,0
Dreamville,Big Black Truck (with JID),2
young mags,harden,3
Chief Keef,Hate Bein' Sober,0
Diablo,Illuminati,0
Young Nudy,Sunflower Seeds,5
YoungBoy Never Broke Again,Carter Son,3
Playboi Carti,Choppa Won't Miss (feat. Young Thug),7
Future,Life Is Good (feat. Drake),2
Godfather of Harlem,On the Inside (feat. 21 Savage),2
Young Thug,Best Friend,7
ScHoolboy Q,Break The Bank,1
YG,I Just Wanna Party,0
Travis Scott,Ok Alright (feat. ScHoolboy Q),0
ScHoolboy Q,Hands on the Wheel (feat. Asap Rocky),0
Memo 600,Exposing Me,5
Polo G,Gang WithMe,5
Lord Lu C N,A.S.S.,3
Smoove'L,New Apolos,5
Sheff G,We Getting Money,7
Lil Uzi Vert,Ps & Qs,6
Zaytoven,Accomplishments,3
Lil Uzi Vert,Futsal Shuffle 2020,3
The Weeknd,Heartless,2
D. Savage,Pill,5
Flipp Dinero,Time Goes Down,3
Key Glock,Gang Shit No Lame Shit,5
448 Empire,Whole Lotta,5
Juice WRLD,Lean Wit Me,0
Juice WRLD,Let Me Know (I Wonder Why Freestyle),3
YNW Melly,Two Face,0
J.I the Prince of N.Y,Company PT. 2,5
SG Tip,Looking For Me,7
King Von,Crazy Story,5
2Pac,No More Pain,7
Trippie Redd,Can You Rap Like Me - Pt. 2,7
YNW Melly,Stay Up,4
Future,Low Life (feat. The Weeknd),0
Lil Uzi Vert,That's a Rack,5
21 Savage,Immortal,2
Ski Mask The Slump God,BabyWipe,5
A$AP Rocky,Canal St. (feat. Bones),5
Kanye West,Devil In A New Dress,1
Kendrick Lamar,Poetic Justice,5
Kendrick Lamar,Hood Politics,3
YNW Melly,Virtual (Blue Balenciagas),3
Isaiah Rashad,Wat's Wrong (feat. Zacari & Kendrick Lamar),4
Gucci Mane,Helpless,2
"Tyler, The Creator","2SEATER (feat. Aaron Shaw, Samantha Nelson & Austin Feinstein)",4
The Weeknd,Sidewalks,2
Jeezy,American Dream,1
Joey Bada$$,ROCKABYE BABY (feat. ScHoolboy Q),2
Kid Cudi,Baptized In Fire,6
ScHoolboy Q,CrasH,7
J. Cole,Neighbors,5
Da Babie,Baby on Baby out Now (Freestyle),4
Black Hippy,UOENO,4
King Kendrick,Jig is Up,2
Flying Lotus,Never Catch Me,1
Kanye West,Through The Wire,1
Kendrick Lamar,u,1
"Tyler, The Creator",THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (feat. ScHoolboy Q),1
Lil Chance,Atlanta House (Freestyle),5
Lil Uzi Vert,20 Min,3
Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),0
Traptology,"Kid Cudi With Nudy, Uzi, and Rocky",5
YungGen,Kid Cudi Only Carti,3
21 Savage,can't leave without it,3
YG,Bottle Service,4
Future,Mask Off (feat. Kendrick Lamar) - Remix,5
A$AP Mob,"Walk On Water (feat. A$AP Twelvyy, A$AP Ant, A$AP Nast, A$AP Ferg & Playboi Carti)",7
Kodak Black,No Flockin',3
"Tyler, The Creator",NEW MAGIC WAND,4
"Tyler, The Creator",A BOY IS A GUN*,4
"Tyler, The Creator",WHAT'S GOOD,1
"Tyler, The Creator","GONE, GONE / THANK YOU",3
Kanye West,Father Stretch My Hands Pt. 1,4
JID,Workin Out,3
"Tyler, The Creator",SMUCKERS (feat. Lil Wayne & Kanye West),1
ScHoolboy Q,THat Part - Black Hippy Remix,5
Travis Scott,3500 (feat. Future & 2 Chainz),3
J. Cole,4 Your Eyez Only,6
"Tyler, The Creator",Rusty (feat. Domo Genesis & Earl Sweatshirt),1
"Tyler, The Creator",Potato Salad,2
ScHoolboy Q,Dangerous (feat. Kid Cudi),6
ScHoolboy Q,Tales,7
ScHoolboy Q,Man Of The Year,7
Kanye West,No More Parties In LA,1
ScHoolboy Q,Fuck LA,7
Nipsey Hussle,Hussle & Motivate,4
ScHoolboy Q,Numb Numb Juice,5
21 Savage,X (feat. Future),5
Kendrick Lamar,Money Trees,0
Kendrick Lamar,"Bitch, Don’t Kill My Vibe",0
Kendrick Lamar,Swimming Pools (Drank),0
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",7
Kendrick Lamar,u,1
Kendrick Lamar,How Much A Dollar Cost,1
Travis Scott,goosebumps,7
Earl Sweatshirt,Chum,0
Kendrick Lamar,"Sing About Me, I'm Dying Of Thirst",3
J. Cole,Let Nas Down,1
Isaiah Rashad,Heavenly Father,1
Saba,Photosynthesis,4
Earl Sweatshirt,Grief,6
Odd Future,Oldie,7
Isaiah Rashad,Free Lunch,3
Mick Jenkins,Vibe,1
Nas,Life's a Bitch (feat. AZ & Olu Dara),7
A$AP Rocky,Phoenix,6
KIDS SEE GHOSTS,Kids See Ghosts,0
The Weeknd,Often,0
J. Cole,03' Adolescence,2
kiLL edward,Tidal Wave - just a little reference,7
J. Cole,Kevin’s Heart,4
Earl Sweatshirt,"Whoa (feat. Tyler, The Creator)",1
Travis Scott,COFFEE BEAN,3
"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),1
Saba,PROM / KING,1
Madvillain,Accordion,3
2Pac,Brenda's Got A Baby,5
Nas,Represent,7
Wu-Tang Clan,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",6
Freddie Gibbs,Palmolive (feat. Pusha T & Killer Mike),2
Nas,The Message,2
Kid Cudi,Mr. Rager,7
Travis Scott,90210 (feat. Kacy Hill),1
JAY-Z,Song Cry,3
Bas,Black Owned Business,0
Lil Skies,Red Roses (feat. Landon Cube),0
24kGoldn,VALENTINO,3
"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),6
Jorja Smith,I Am,1
Kendrick Lamar,YAH.,6
J. Cole,Window Pain - Outro,5
Travis Scott,STOP TRYING TO BE GOD,0
WESTSIDE BOOGIE,Tired/Reflections,6
KIDS SEE GHOSTS,Reborn,0
Kendrick Lamar,HiiiPower,1
Vince Staples,745,0
Earl Sweatshirt,Shattered Dreams,4
Malz Monday,Baby Boy,1
Kendrick Lamar,FEEL.,7
The Weeknd,I Was Never There,1
Nas,If I Ruled the World (Imagine That) (feat. Lauryn Hill),3
Souls Of Mischief,93 'Til Infinity,2
Trippie Redd,BANG!,3
Nas,Adam and Eve,1
Nas,Bonjour,2
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,3
J. Cole,Love Yourz,6
Anderson .Paak,Tints (feat. Kendrick Lamar),3
Kid Cudi,These Worries,0
Redman,Tonight's Da Night,3
Gang Starr,Above The Clouds - Feat. Inspectah Deck,2
XXXTENTACION,infinity (888) - feat. Joey Bada$$,1
Mac Miller,2009,6
"Tyler, The Creator",Awkward,2
"Tyler, The Creator",Answer,1
The Weeknd,In Your Eyes (feat. Kenny G) - Remix,3
MF DOOM,So Alone - Edit,5
Mac Miller,Everybody,0
BJ The Chicago Kid,His Pain,6
"Royce Da 5'9""",Boblo Boat (feat. J. Cole),2
,,6
SZA,Doves In The Wind (feat. Kendrick Lamar),3
Freddie Gibbs,Giannis (feat. Anderson .Paak),1
Mac Miller,Right,6
Anderson .Paak,Come Home (feat. André 3000),2
Outkast,Hollywood Divorce (feat. Snoop Dogg & Lil' Wayne),3
Kendrick Lamar,FEAR.,6
J. Cole,everybody dies,7
Outkast,Aquemini,1
Kendrick Lamar,Opposites Attract (Tomorrow W/O Her),2
Kanye West,Everything I Am,1
Kanye West,Family Business,7
Ab-Soul,The Book of Soul,6
Freddie Gibbs,Deeper,2
ScHoolboy Q,Birds & The Beez,1
Frank Ocean,Biking,6
Frank Ocean,Lens,6
Denzel Curry,TABOO | TA13OO,0
MF DOOM,Doomsday,3
Jay Rock,OSOM (feat. J. Cole),3
Cozz,Zendaya (feat. J. Cole),2
KIDS SEE GHOSTS,Cudi Montage,3
Kanye West,Hold My Liquor,0
J. Cole,The Cut Off (feat. kiLL edward),5
Mick Jenkins,Healer,6
Joey Bada$$,Snakes,6
Isaiah Rashad,West Savannah (feat. SZA),4
SZA,Warm Winds (feat. Isaiah Rashad),4
"Tyler, The Creator",Foreword (feat. Rex Orange County),0
"Tyler, The Creator",November,4
"Tyler, The Creator",Where This Flower Blooms (feat. Frank Ocean),6
"Tyler, The Creator",PartyIsntOver/Campfire/Bimmer (feat. Frank Ocean & Laetitia Sadier),0
Kendrick Lamar,Real,4
Saba,HEAVEN ALL AROUND ME,0
Freddie Gibbs,1985,6
Kendrick Lamar,untitled 02 | 06.23.2014.,4
J. Cole,Rich Niggaz,6
Kanye West,Saint Pablo,2
Kanye West,30 Hours,7
Frank Ocean,Nights,6
A$AP Rocky,Purity (feat. Frank Ocean),6
A$AP Rocky,Kids Turned Out Fine,2
Joey Bada$$,Love Is Only a Feeling,4
Kendrick Lamar,These Walls,0
Kendrick Lamar,Complexion (A Zulu Love),6
Mac Miller,Fight the Feeling,4
Madvillain,Figaro,7
Denzel Curry,Zenith,0
2Pac,Dear Mama,0
2Pac,All About U,7
2Pac,So Many Tears,7
2Pac,Changes,0
2Pac,Can't C Me,7
Dr. Dre,"Nuthin' But A ""G"" Thang",3
The Notorious B.I.G.,Big Poppa - 2005 Remaster,3
Mobb Deep,Hell on Earth (Front Lines),7
Snoop Dogg,Who Am I (What's My Name)?,4
Coolio,Gangsta's Paradise,0
Ice Cube,No Vaseline,3
Snoop Dogg,Gin N Juice (feat. Dat Nigga Daz),4
Rakim,When I B On Tha Mic,7
50 Cent,P.I.M.P. - Snoop Dogg Remix,3
The Game,How We Do,3
Outkast,Ms. Jackson,3
JAY-Z,Hard Knock Life (The Ghetto Anthem) - Radio Edit,7
Nas,N.Y. State of Mind,3
Wu-Tang Clan,"Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)",5
Dr. Dre,Forgot About Dre,7
E-40,"Dusted 'N' Disgusted (feat. 2Pac, Mac Mall & Spice 1)",7
Mobb Deep,"Shook Ones, Pt. II",3
Dr. Dre,Xxplosive,7
2Pac,2 Of Amerikaz Most Wanted,7
The Notorious B.I.G.,Who Shot Ya? - 2005 Remaster,4
Ice Cube,It Was A Good Day,3
Outkast,ATLiens,3
2Pac,Hail Mary,3
2Pac,Only God Can Judge Me (ft. Rappin' 4-Tay),3
Nas,Smokin',3
Nas,Ether,1
Nas,I Can,3
The Game,Hate It Or Love It,7
Snoop Dogg,Bitch Please,7
Outkast,Player's Ball,7
Scarface,Smile,5
Mos Def,Mathematics,3
JAY-Z,Dead Presidents II,1
JAY-Z,03' Bonnie & Clyde,3
Diddy,Bad Boy for Life,7
Raekwon,Still Strugglin' - Instrumental,7
Ol' Dirty Bastard,Shimmy Shimmy Ya,0
Outkast,Rosa Parks,4
JAY-Z,Renegade,1
Ice Cube,Natural Born Killaz,4
Eminem,Sing For The Moment,2
Madvillain,All Caps,1
A Tribe Called Quest,Award Tour,5
Wu-Tang Clan,People Say (feat. Redman),1
MF DOOM,Rhymes Like Dimes,7
MF DOOM,Hoe Cakes,7
Big L,Put It On,3
Craig Mack,"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",2
Warren G,This D.J.,3
Dr. Dre,The Watcher,7
Big Pun,Twinz (feat. Fat Joe),1
2Pac,I Get Around,5
Nas,Street Dreams,4
Big Pun,You Ain't a Killer,7
Eminem,Bitch Please II,7
Outkast,"Git Up, Git Out (feat. Goodie Mob)",3
Westside Connection,"The Gangsta, The Killa And The Dope Dealer",4
2Pac,All Eyez On Me (ft. Big Syke),7
Snoop Dogg,G'z And Hustlaz,7
Dr. Dre,Fuck You,7
Snoop Dogg,Imagine,3
Snoop Dogg,Tha Shiznit,3
2Pac,Hit 'Em Up - Single Version,7
"Royce Da 5'9""",Boom - Explicit Album Version,3
Makaveli,Me And My Girlfriend,3
The Game,Dreams,2
Nas,The World Is Yours,3
Diddy,Victory (feat. The Notorious B.I.G. & Busta Rhymes),4
2Pac,Picture Me Rollin',3
Outkast,Two Dope Boyz (In a Cadillac),3
Outkast,Wheelz of Steel,3
Outkast,Skew It on the Bar-B (feat. Raekwon),7
Outkast,"Return of the ""G""",1
Nas,"Affirmative Action (feat. AZ, Cormega & Foxy Brown)",2
Mobb Deep,Drop A Gem On 'Em,7
Nas,Nas Is Like,3
Craig Mack,Flava in Ya Ear,3
Pete Rock & C.L. Smooth,They Reminisce Over You (T.R.O.Y.),7
Big Daddy Kane,Ain't No Half-Steppin',3
The Notorious B.I.G.,The What,2
Black Star,Thieves In The Night,7
Jay Electronica,Exhibit C,1
Outkast,Da Art of Storytellin' (Pt. 2),3
Big L,Deadly Combination,5
JAY-Z,Anything,7
JAY-Z,D'evils,3
JAY-Z,Brooklyn's Finest,2
Pooh Shiesty,Neighbors (feat. BIG30),7
Lil Durk,Should've Ducked (feat. Pooh Shiesty),3
Lil Durk,When I'm Lonely,0
Nipsey Hussle,What It Feels Like,1
JID,Ballads (with Conway The Machine),1
Benny The Butcher,3:30 In Houston,6
Lil Eazzyy,Onna Come Up (feat. G Herbo) [Remix],7
Lil Uzi Vert,You Was Right,5
ScHoolboy Q,THat Part,3
Kendrick Lamar,A.D.H.D,2
ScHoolboy Q,Hands On The Wheel,0
J. Cole,Deja Vu,5
Desiigner,Tiimmy Turner,0
Playboi Carti,Magnolia,3
J. Cole,No Role Modelz,3
"Tyler, The Creator",Yonkers,7
Childish Gambino,3005,2
"Tyler, The Creator",Domo23,3
Tee Grizzley,First Day Out,1
Denzel Curry,Ultimate,1
Kanye West,I Am A God,0
Outkast,Red Velvet,5
Denzel Curry,ULT,0
Sada Baby,SB5,7
Fredo Bang,Big Steppa (feat. Sada Baby),4
Doe Boy,Get In Dere (feat. 42 Dugg & BabyFace Ray),7
YoungBoy Never Broke Again,The Story of O.J. (Top Version),2
YoungBoy Never Broke Again,Soul Stealer,3
G Herbo,Real One,1
Lil Durk,On Your Mind,5
Kendrick Lamar,LOVE. FEAT. ZACARI.,7
SZA,Love Galore (feat. Travis Scott),0
Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),7
Miguel,Come Through and Chill (feat. J. Cole & Salaam Remi),1
The Weeknd,Die For You,0
The Weeknd,Try Me,6
The Weeknd,Valerie,3
The Weeknd,Privilege,6
The Weeknd,Escape From LA,0
The Weeknd,Snowchild,0
Frank Ocean,Provider,6
Kendrick Lamar,King Kunta,3
Kendrick Lamar,i,3
Kendrick Lamar,Alright,7
Kendrick Lamar,Rigamortus,2
ScHoolboy Q,Collard Greens,7
ScHoolboy Q,Hell Of A Night,0
ScHoolboy Q,Yay Yay,7
Kanye West,All Day,3
Kendrick Lamar,The Blacker The Berry,2
Action Bronson,Actin Crazy,2
Kendrick Lamar,These Walls,3
Chance the Rapper,Angels (feat. Saba),2
Vince Staples,Norf Norf,0
A$AP Rocky,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",2
J. Cole,G.O.M.D.,5
A$AP Rocky,L$D,5
J. Cole,A Tale of 2 Citiez,2
Frank Ocean,Nikes,6
J. Cole,Apparently,6
J. Cole,Land Of The Snakes,7
N.W.A.,Express Yourself,3
A$AP Rocky,Goldie,4
Future,Codeine Crazy,0
J. Cole,Forbidden Fruit (feat. Kendrick Lamar),5
Spillage Village,M.O.M,5
Pusha T,Drug Dealers Anonymous,2
Ombre2Choc Nation,The Story Of Adidon (Remix),1
Mac Miller,Red Dot Music,2
Freddie Gibbs,Fake Names,1
Isaiah Rashad,4r Da Squaw,6
